Date,Year,Month,Day_Number,Day_Name,Close,Open,High,Low
12/27/23,2023,12,27,Wednesday,16906.8,16896.14,16922.01,16859.55
12/26/23,2023,12,26,Tuesday,16878.46,16816.78,16907.51,16813.57
12/22/23,2023,12,22,Friday,16777.4,16799.02,16839.25,16703.57
12/21/23,2023,12,21,Thursday,16757.41,16719.61,16768.02,16621.52
12/20/23,2023,12,20,Wednesday,16554.16,16763.64,16860.68,16552.06
12/19/23,2023,12,19,Tuesday,16811.85,16734.25,16813.01,16733.38
12/18/23,2023,12,18,Monday,16729.8,16631.11,16764.32,16629.29
12/15/23,2023,12,15,Friday,16623.45,16587,16669.77,16557.01
12/14/23,2023,12,14,Thursday,16537.83,16603.54,16660.71,16419.26
12/13/23,2023,12,13,Wednesday,16562.37,16392.18,16581.04,16357.21
12/12/23,2023,12,12,Tuesday,16354.25,16209.61,16354.25,16175.46
12/11/23,2023,12,11,Monday,16221.73,16069.61,16232.26,16061.87
12/8/23,2023,12,8,Friday,16084.69,15952.85,16100.86,15937.58
12/7/23,2023,12,7,Thursday,16022.49,15888.23,16042.51,15875.48
12/6/23,2023,12,6,Wednesday,15788.05,15990.2,15990.94,15776.95
12/5/23,2023,12,5,Tuesday,15877.71,15763.65,15931.84,15760.59
12/4/23,2023,12,4,Monday,15839.67,15837.12,15852.45,15695.58
12/1/23,2023,12,1,Friday,15997.58,15892.59,16013.75,15834.93
11/30/23,2023,11,30,Thursday,15947.87,15987.66,16013.48,15825.67
11/29/23,2023,11,29,Wednesday,15987.6,16111.36,16166.51,15976.69
11/28/23,2023,11,28,Tuesday,16010.43,15940.29,16031.52,15921.07
11/27/23,2023,11,27,Monday,15961.98,15969.72,16045.3,15932.19
11/24/23,2023,11,24,Friday,15982.01,15974.85,16007.43,15940.62
11/22/23,2023,11,22,Wednesday,16001.39,16025.74,16119.31,15964.04
11/21/23,2023,11,21,Tuesday,15933.62,15951.55,15968.09,15866.82
11/20/23,2023,11,20,Monday,16027.06,15845.2,16056.76,15844.83
11/17/23,2023,11,17,Friday,15837.99,15803.98,15876.87,15766.94
11/16/23,2023,11,16,Thursday,15833.17,15765.2,15842.63,15738.22
11/15/23,2023,11,15,Wednesday,15817.18,15881.72,15904.63,15765.31
11/14/23,2023,11,14,Tuesday,15812.47,15744.36,15850.34,15726.12
11/13/23,2023,11,13,Monday,15482.79,15469.21,15524.66,15404.71
11/10/23,2023,11,10,Friday,15529.12,15252.36,15535.2,15237.17
11/9/23,2023,11,9,Thursday,15187.9,15351.12,15382.11,15171.32
11/8/23,2023,11,8,Wednesday,15313.24,15313.9,15343.19,15220.88
11/7/23,2023,11,7,Tuesday,15296.02,15201.77,15335.44,15153.31
11/6/23,2023,11,6,Monday,15154.93,15137.16,15180.19,15064.91
11/3/23,2023,11,3,Friday,15099.49,14985.12,15149.78,14965.29
